   0.100000E-03   0.624438E+03
   0.102020E-03   0.636535E+03
   0.104081E-03   0.648867E+03
   0.106184E-03   0.661438E+03
   0.108329E-03   0.674252E+03
   0.110517E-03   0.687313E+03
   0.112750E-03   0.700628E+03
   0.115027E-03   0.714199E+03
   0.117351E-03   0.728034E+03
   0.119722E-03   0.742135E+03
   0.122140E-03   0.756510E+03
   0.124608E-03   0.771162E+03
   0.127125E-03   0.786098E+03
   0.129693E-03   0.801322E+03
   0.132313E-03   0.816841E+03
   0.134986E-03   0.832659E+03
   0.137713E-03   0.848783E+03
   0.140495E-03   0.865219E+03
   0.143333E-03   0.881972E+03
   0.146228E-03   0.899049E+03
   0.149182E-03   0.916455E+03
   0.152196E-03   0.934198E+03
   0.155271E-03   0.952283E+03
   0.158407E-03   0.970717E+03
   0.161607E-03   0.989507E+03
   0.164872E-03   0.100866E+04
   0.168203E-03   0.102818E+04
   0.171601E-03   0.104808E+04
   0.175067E-03   0.106836E+04
   0.178604E-03   0.108904E+04
   0.182212E-03   0.111011E+04
   0.185893E-03   0.113159E+04
   0.189648E-03   0.115348E+04
   0.193479E-03   0.117579E+04
   0.197388E-03   0.119854E+04
   0.201375E-03   0.122172E+04
   0.205443E-03   0.124534E+04
   0.209594E-03   0.126943E+04
   0.213828E-03   0.129397E+04
   0.218147E-03   0.131899E+04
   0.222554E-03   0.134449E+04
   0.227050E-03   0.137048E+04
   0.231637E-03   0.139696E+04
   0.236316E-03   0.142396E+04
   0.241090E-03   0.145148E+04
   0.245960E-03   0.147952E+04
   0.250929E-03   0.150810E+04
   0.255998E-03   0.153723E+04
   0.261170E-03   0.156692E+04
   0.266446E-03   0.159717E+04
   0.271828E-03   0.162801E+04
   0.277319E-03   0.165944E+04
   0.282922E-03   0.169146E+04
   0.288637E-03   0.172410E+04
   0.294468E-03   0.175737E+04
   0.300417E-03   0.179127E+04
   0.306485E-03   0.182581E+04
   0.312677E-03   0.186102E+04
   0.318993E-03   0.189690E+04
   0.325437E-03   0.193346E+04
   0.332012E-03   0.197072E+04
   0.338719E-03   0.200868E+04
   0.345561E-03   0.204737E+04
   0.352542E-03   0.208680E+04
   0.359664E-03   0.212697E+04
   0.366930E-03   0.216791E+04
   0.374342E-03   0.220962E+04
   0.381904E-03   0.225212E+04
   0.389619E-03   0.229543E+04
   0.397490E-03   0.233956E+04
   0.405520E-03   0.238452E+04
   0.413712E-03   0.243033E+04
   0.422070E-03   0.247700E+04
   0.430596E-03   0.252456E+04
   0.439295E-03   0.257301E+04
   0.448169E-03   0.262237E+04
   0.457222E-03   0.267266E+04
   0.466459E-03   0.272389E+04
   0.475882E-03   0.277609E+04
   0.485496E-03   0.282926E+04
   0.495303E-03   0.288342E+04
   0.505309E-03   0.293860E+04
   0.515517E-03   0.299481E+04
